GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springBootDemo,com.kgisl.springBootDemo.controller,PersonController,130,67,4,2,21,14,12,6,9,6
springBootDemo,com.kgisl.springBootDemo,SpringBootDemoApplication,5,3,0,0,2,1,1,1,1,1
springBootDemo,com.kgisl.springBootDemo.model,Person,28,29,0,0,12,2,8,2,8,2
springBootDemo,com.kgisl.springBootDemo.service,PersonServiceImpl,63,3,0,0,11,1,6,1,6,1
